station_id,horizon,frost_accuracy,frost_precision,frost_recall,frost_f1,frost_roc_auc,frost_pr_auc,frost_brier_score,frost_tn,frost_fp,frost_fn,frost_tp,frost_ece,temp_mae,temp_rmse,temp_r2,temp_mape
194,12h,0.9918940292605773,0.5658914728682171,0.317115551694179,0.4064587973273942,0.9869168012960625,0.39680270130529954,0.006220378330804092,130077,280,786,365,0.0020617292078983656,2.343309451082816,2.9848520332046338,0.8710829484020642,39.28225436227701
194,24h,0.9934370627243414,0.7123893805309734,0.41963509991311904,0.5281574630945872,0.9867091940959065,0.5742617469314237,0.005278165965348886,130150,195,668,483,0.0014244121175383678,1.9426035252038427,2.501051097211042,0.909475072521498,33.24533939318074
195,3h,0.9967836857592555,0.5915492957746479,0.6375711574952562,0.6136986301369863,0.9952183872546725,0.6959523264045891,0.0023108857493217305,130758,232,191,336,0.00202943113599732,1.6400369260953824,2.1335007881684183,0.9362408922011851,18.368722193791637
195,6h,0.9942895813373481,0.3620689655172414,0.5578747628083491,0.4391336818521285,0.9898253442854369,0.4988307454580033,0.0037605228562769045,130469,518,233,294,0.004634953380817866,2.1614372057109983,2.774377104089145,0.892183195980411,24.564582686615598
195,12h,0.9934984943881741,0.23376623376623376,0.2732447817836812,0.25196850393700787,0.9656877389128979,0.20536679708230093,0.0052069900691689985,130509,472,383,144,0.0075707466187586855,2.525849352912493,3.243259407742227,0.8526489069792004,29.986726837028556
195,24h,0.9960074831173572,0.5033783783783784,0.2827324478178368,0.362089914945322,0.9692182470052484,0.2944850544464059,0.003296765645555616,130822,147,378,149,0.0017822494722406332,2.1850902128530945,2.822624472221086,0.8883680527243093,27.076449075308922
205,3h,0.9966544249032444,0.5482142857142858,0.6214574898785425,0.5825426944971537,0.9959920888507351,0.6323497760154877,0.002460760828154067,130770,253,187,307,0.0027813277590745806,1.7278949913685633,2.211869318359066,0.9439750400662373,19.51222863463855
205,6h,0.9946697689979774,0.375750300120048,0.6336032388663968,0.4717407686510927,0.9938312876174913,0.5062358823431551,0.0035987747488049233,130500,520,181,313,0.005427396196750913,2.3467363003573887,2.9327452899293567,0.9015077289327618,24.917826239512593
205,12h,0.994882440611978,0.3410301953818828,0.38866396761133604,0.3632923368022706,0.9897775705152257,0.3390440050983977,0.0037436157122184744,130643,371,302,192,0.006218050994030843,2.785267628549765,3.4633177961382584,0.8626422834772265,30.03972554268593
205,24h,0.992646164141875,0.24039517014270034,0.4433198380566802,0.3117437722419929,0.9807253228572026,0.2264769590480636,0.005484314440767687,130310,692,275,219,0.009549691405871238,2.207913018079372,2.7937133892195734,0.9106077609349394,26.84251899476332
206,3h,0.9946242691058951,0.8309549945115258,0.5778625954198473,0.6816749212066636,0.996925169124419,0.8243758226707469,0.003865513246659315,130053,154,553,757,0.0018413867841303197,1.4006665558349793,1.7969128942318122,0.9541483675209245,25.425179105594765
206,6h,0.9937877336253175,0.8326585695006747,0.47099236641221376,0.6016577279375914,0.9941701524864917,0.7532117290158385,0.0046926801816908606,130080,124,693,617,0.0019430642954393392,1.990488944188911,2.514139268026804,0.9102427489091516,35.29963382594804
206,12h,0.9913541381512911,0.7661538461538462,0.1900763358778626,0.30458715596330277,0.9860001777680008,0.5399459923915557,0.006502209992035039,130122,76,1061,249,0.0020894679815843297,2.2743865429603134,2.8864591536621655,0.8816873326169852,45.19845647860456
206,24h,0.9920149662347144,0.7610441767068273,0.28931297709923665,0.4192477876106195,0.9861608106686579,0.5788861189756768,0.006106824324561202,130067,119,931,379,0.0020838275256971363,1.9267529423492689,2.506682118402372,0.9107599614065942,36.919971691813316
